urls,epg,playertype,logo,ua,url,ext,pass,timeout,api,catchup,type,name
,,,,,https://live.fanmingming.cn/tv/m3u/ipv6.m3u,,True,,,,0,fanmingming
,http://127.0.0.1:10079/p/0/proxy/http://epg.112114.xyz/?ch={name}&date={date},1,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://127.0.0.1:10079/p/0/proxy/https://fanmingming.com/txt?url=https://live.fanmingming.com/tv/m3u/ipv6.m3u,,,,,,0,live.ipv6
,http://127.0.0.1:10079/p/0/proxy/http://epg.112114.xyz/?ch={name}&date={date},1,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://127.0.0.1:10079/p/0/proxy/https://live.fanmingming.com/tv/m3u/ipv6.m3u,,,,,,0,live.ipv6.m3u
,http://127.0.0.1:10079/p/0/proxy/http://epg.112114.xyz/?ch={name}&date={date},1,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,./lib/live.ipv6.txt,,,,,,0,live.ipv6.local
,http://127.0.0.1:10079/p/0/proxy/http://epg.112114.xyz/?ch={name}&date={date},1,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://127.0.0.1:10079/p/0/proxy/https://raw.githubusercontent.com/dxawi/0/main/tvlive.txt,,,,,,0,live.fan
,,1,,,./lib/yo21.txt,,,,,,0,YTLive
,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/?ch={name}&date={date},1,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/logo/{name}.png,,https://agit.ai/Yoursmile7/TVBox/raw/branch/master/live.txt,,,,,,0,直播
,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/?ch={name}&date={date},1,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/logo/{name}.png,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",./lib/live.txt,,,,,,0,TXT
,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/?ch={name}&date={date},1,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/logo/{name}.png,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",http://127.0.0.1:10079/p/0/proxy/https://raw.githubusercontent.com/FongMi/CatVodSpider/main/json/live.json,,,,,,1,Json
,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/?ch={name}&date={date},1,http://127.0.0.1:10079/p/0/proxy/https://epg.112114.xyz/logo/{name}.png,okhttp/3.12.13,http://127.0.0.1:10079/p/0/proxy/http://我不是.肥猫.live/TV/tvzb.txt,,,,,,0,live.feimao
